시간 29038 : 작업 : 408 종료(도착시간 : 28255, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 783, 최종우선순위 : 6)
시간 29278 : 작업 : 754 종료(도착시간 : 28773, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 505, 최종우선순위 : 6)
시간 29298 : 작업 : 876 종료(도착시간 : 17929, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 11369, 최종우선순위 : 7)
시간 29508 : 작업 : 423 종료(도착시간 : 18283, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 11225, 최종우선순위 : 7)
시간 29548 : 작업 : 581 종료(도착시간 : 18271, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 11277, 최종우선순위 : 7)
시간 29898 : 작업 : 619 종료(도착시간 : 19097, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 10801, 최종우선순위 : 7)
시간 30658 : 작업 : 103 종료(도착시간 : 30145, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 513, 최종우선순위 : 6)
시간 30868 : 작업 : 636 종료(도착시간 : 20083, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 10785, 최종우선순위 : 7)
시간 31808 : 작업 : 45 종료(도착시간 : 31107, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 701, 최종우선순위 : 5)
시간 31978 : 작업 : 967 종료(도착시간 : 31461, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 517, 최종우선순위 : 5)
시간 32568 : 작업 : 265 종료(도착시간 : 21430, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 11138, 최종우선순위 : 7)
시간 32648 : 작업 : 170 종료(도착시간 : 21520, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 11128, 최종우선순위 : 7)
시간 33088 : 작업 : 643 종료(도착시간 : 32588, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 500, 최종우선순위 : 4)
시간 33218 : 작업 : 739 종료(도착시간 : 32683, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 535, 최종우선순위 : 6)
시간 33298 : 작업 : 52 종료(도착시간 : 32591, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 707, 최종우선순위 : 6)
시간 33448 : 작업 : 601 종료(도착시간 : 22593, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 10855, 최종우선순위 : 7)
시간 33508 : 작업 : 180 종료(도착시간 : 22428, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 11080, 최종우선순위 : 7)
시간 33588 : 작업 : 886 종료(도착시간 : 23024, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 10564, 최종우선순위 : 7)
시간 33858 : 작업 : 56 종료(도착시간 : 24350, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 9508, 최종우선순위 : 7)
시간 34428 : 작업 : 966 종료(도착시간 : 27123, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 7305, 최종우선순위 : 7)
시간 35038 : 작업 : 672 종료(도착시간 : 29733, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 5305, 최종우선순위 : 7)
시간 35218 : 작업 : 301 종료(도착시간 : 30674, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 4544, 최종우선순위 : 7)
시간 35328 : 작업 : 744 종료(도착시간 : 31357, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 3971, 최종우선순위 : 7)
시간 35338 : 작업 : 499 종료(도착시간 : 31163, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 4175, 최종우선순위 : 7)
시간 35448 : 작업 : 605 종료(도착시간 : 31531, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 3917, 최종우선순위 : 7)
시간 35488 : 작업 : 88 종료(도착시간 : 31998, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 3490, 최종우선순위 : 7)
시간 35648 : 작업 : 626 종료(도착시간 : 742, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 34906, 최종우선순위 : 8)
시간 35818 : 작업 : 446 종료(도착시간 : 1381, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 34437, 최종우선순위 : 8)
시간 35888 : 작업 : 816 종료(도착시간 : 1443, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 34445, 최종우선순위 : 8)
시간 36138 : 작업 : 452 종료(도착시간 : 2258, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 33880, 최종우선순위 : 8)
시간 36188 : 작업 : 424 종료(도착시간 : 2376, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 33812, 최종우선순위 : 8)
시간 36678 : 작업 : 639 종료(도착시간 : 4769, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 31909, 최종우선순위 : 8)
시간 36798 : 작업 : 60 종료(도착시간 : 4734, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 32064, 최종우선순위 : 8)
시간 36858 : 작업 : 501 종료(도착시간 : 4954, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 31904, 최종우선순위 : 8)
시간 37178 : 작업 : 482 종료(도착시간 : 6193, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 30985, 최종우선순위 : 8)
시간 37388 : 작업 : 872 종료(도착시간 : 7058, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 30330, 최종우선순위 : 8)
시간 37408 : 작업 : 468 종료(도착시간 : 7328, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 30080, 최종우선순위 : 8)
시간 37628 : 작업 : 987 종료(도착시간 : 8388, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 29240, 최종우선순위 : 8)
시간 37708 : 작업 : 454 종료(도착시간 : 8610, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 29098, 최종우선순위 : 8)
시간 37718 : 작업 : 618 종료(도착시간 : 8546, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 29172, 최종우선순위 : 8)
시간 37938 : 작업 : 428 종료(도착시간 : 8925, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 29013, 최종우선순위 : 8)
시간 37958 : 작업 : 22 종료(도착시간 : 8942, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 29016, 최종우선순위 : 8)
시간 37998 : 작업 : 488 종료(도착시간 : 9277, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 28721, 최종우선순위 : 8)
시간 38148 : 작업 : 587 종료(도착시간 : 10268, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 27880, 최종우선순위 : 8)
